	Aria 1	Variation 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16a	16b	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Aria 2	
Pulse	quarter note	quarter note	quarter note	dotted quarter note	dotted quarter note	quarter note	dotted quarter note	dotted quarter note	quarter note	quarter note	half note	dotted quarter note	quarter note	quarter note	quarter note	quarter note	half note	dotted quarter note	quarter note	half note	eighth note	quarter note	quarter note	half note	quarter note	dotted quarter note	eighth note	quarter note	dotted quarter note	quarter note	quarter note	quarter note	quarter note	
Rudolf Serkin 1928	69.1	126.8	103.4	57.1	91.0	178.4	- - - 	- - - 	- - - 	73.6	111.1	201.9	83.4	57.9	126.8	37.5	44.9	92.1	137.3	115.9	208.7	131.8	55.8	136.1	128.2	52.3	50.6	107.0	92.0	102.9	109.8	91.0	60.1	Rudolf Serkin 1928
Landowska 1933	48.4	53.8	71.6	63.2	62.1	130.9	41.6	72.9	111.2	57.5	82.5	116.7	82.5	35.1	88.9	26.4	32.7	75.7	130.1	99.4	122.2	104.9	31.4	80.2	90.1	87.7	50.9	91.0	78.8	78.4	80.9	82.9	47.8	Landowska 1933
Norton 1942	60.4	117.5	73.1	58.5	62.2	172.5	43.6	74.6	129.2	69.2	82.3	183.8	72.1	38.8	84.9	26.9	32.6	46.2	123.0	76.8	148.8	129.3	52.2	107.4	116.5	81.7	52.7	114.6	61.2	93.6	98.6	80.7	60.4	Norton 1942
Arrau 1942	46.7	111.8	88.1	68.6	60.6	123.9	43.2	83.0	109.5	63.5	95.2	147.6	56.4	38.6	95.7	31.9	33.8	69.1	101.2	111.1	185.8	101.8	45.7	105.9	102.4	62.2	47.0	100.5	69.2	82.9	93.6	78.0	48.4	Arrau 1942
Landowska 1945	44.8	62.1	71.4	58.6	60.1	124.3	39.6	70.1	101.1	54.7	81.6	110.2	76.9	35.1	91.5	25.9	31.4	69.2	114.7	95.7	110.1	89.2	27.1	82.8	87.1	76.0	48.9	85.2	71.3	71.1	78.9	80.4	43.5	Landowska 1945
Kirkpatrick 1952 	52.2	100.0	50.8	35.4	63.1	143.1	53.1	- - - 	90.5	59.0	68.3	157.9	74.6	39.4	86.4	30.3	28.5	62.8	120.9	67.4	140.6	96.6	56.6	59.7	106.1	54.8	48.4	89.8	77.8	88.2	96.9	70.6	50.5	Kirkpatrick 1952 
Demus 1953	40.7	98.4	60.4	49.8	56.6	124.4	30.8	63.9	105.0	49.7	70.6	134.9	56.2	39.3	87.0	22.5	27.4	75.2	98.7	90.5	99.5	99.9	38.2	92.6	93.9	55.3	55.2	90.9	73.8	70.3	85.1	75.1	38.7	Demus 1953
Ahlgrimm 1954	56.7	109.2	62.8	47.3	57.3	150.8	42.8	56.8	96.2	59.2	85.0	145.7	58.8	33.4	80.0	33.5	31.6	67.5	105.7	83.6	138.5	96.0	44.9	85.6	93.0	52.3	63.7	92.2	64.5	80.1	105.3	76.3	57.5	Ahlgrimm 1954
Gould 1954	42.5	109.5	91.7	53.9	60.9	158.9	46.3	52.4	128.9	76.7	83.3	155.7	80.8	39.0	102.4	27.5	28.4	65.7	114.7	112.2	167.7	115.6	56.6	98.0	112.0	93.9	46.3	110.2	86.5	96.1	109.3	66.5	37.8	Gould 1954
Gould 1955	61.6	136.7	110.9	72.7	68.6	173.6	65.7	63.7	141.7	103.0	99.0	154.7	112.3	50.6	108.8	31.3	36.9	88.0	118.4	93.0	146.4	141.6	42.4	100.1	111.0	107.2	33.3	113.9	84.9	89.1	104.1	91.3	57.5	Gould 1955
Richter 1956	50.7	77.1	67.2	52.5	56.5	98.9	43.4	65.5	76.2	68.3	84.0	108.8	64.9	55.7	80.5	27.5	36.1	49.8	79.0	80.3	113.7	85.9	46.2	89.9	78.1	58.5	49.9	70.6	66.0	71.7	83.7	71.4	50.4	Richter 1956
Silver 1957	40.8	81.0	54.9	66.0	58.5	124.0	34.3	70.2	104.0	52.2	63.6	138.2	48.3	31.0	92.1	26.5	30.7	70.8	109.1	103.2	151.7	98.3	45.6	96.3	95.8	72.3	57.9	90.1	76.3	75.7	88.6	67.7	46.0	Silver 1957
Tureck 1957	33.6	73.8	48.2	52.4	40.6	99.9	30.8	59.6	97.6	50.3	61.1	111.1	44.4	53.7	86.9	25.0	30.4	59.9	98.1	73.3	127.9	92.2	35.7	67.0	82.3	50.6	43.2	80.4	53.8	71.4	85.4	66.3	33.2	Tureck 1957
Gould 1958	58.2	126.0	99.9	66.2	62.0	176.4	80.0	61.6	118.9	89.6	90.2	149.7	107.7	59.2	103.4	29.7	38.8	84.7	112.1	89.2	133.2	118.9	57.5	90.7	110.1	101.5	46.4	110.5	78.9	94.4	108.5	88.0	58.2	Gould 1958
Kirkpatrick 1958 	54.1	98.5	56.0	35.2	62.2	136.6	45.9	55.0	90.7	61.4	80.5	157.6	77.5	40.8	87.1	31.0	30.8	60.3	126.1	74.1	158.1	101.9	66.2	76.4	104.6	60.9	49.2	91.1	75.0	89.7	93.6	78.2	51.2	Kirkpatrick 1958 
Gould 1959	58.7	122.8	81.9	58.5	61.9	152.2	71.5	56.4	123.0	93.9	96.8	132.6	104.9	53.7	101.1	28.6	37.7	82.9	111.5	96.9	129.8	117.8	49.6	93.1	105.5	101.1	48.0	109.5	75.8	96.5	102.4	79.6	56.4	Gould 1959
Sultan 1959	49.9	108.3	69.0	56.2	67.4	131.0	41.6	64.1	113.9	57.4	72.7	146.8	62.9	53.1	101.6	29.5	31.4	69.9	111.6	75.5	142.5	110.3	49.1	105.3	97.4	73.9	47.0	93.8	70.8	76.3	89.4	83.5	45.8	Sultan 1959
Marlowe 1962	40.2	75.0	72.7	49.2	52.0	118.0	41.1	51.3	96.2	44.9	72.7	118.6	70.3	30.8	81.6	22.7	28.5	61.4	103.2	87.0	100.0	83.2	30.9	80.6	83.0	61.0	37.4	83.0	63.2	78.3	79.3	79.4	39.6	Marlowe 1962
Gát 1963 	48.9	112.4	63.6	43.9	44.2	140.5	59.9	67.1	118.6	64.6	87.5	160.8	67.0	37.8	90.3	36.9	27.8	66.4	112.4	105.6	161.8	101.4	44.1	94.6	93.4	65.4	65.4	105.3	75.3	91.5	101.2	82.5	57.7	Gát 1963 
Leonhardt 1965	44.8	66.0	70.9	63.1	60.5	98.7	39.0	66.2	73.6	62.2	77.6	96.8	55.9	37.2	76.3	25.8	31.3	64.8	94.6	89.7	113.5	87.9	31.8	89.3	75.6	57.5	45.1	88.6	62.6	66.3	78.8	65.1	42.3	Leonhardt 1965
Picht-Axenfeld 1966	47.0	90.7	71.6	45.8	49.1	104.1	37.4	65.2	92.8	62.6	77.8	122.1	63.9	39.4	83.3	31.4	31.9	64.1	90.0	80.6	139.1	86.6	48.8	79.9	83.4	65.2	49.1	75.6	58.2	75.4	79.0	68.4	46.9	Picht-Axenfeld 1966
Rosen 1967	50.8	106.6	83.8	45.2	52.8	132.6	53.8	66.1	96.6	60.5	81.0	162.1	59.5	49.3	94.4	34.4	27.1	67.1	115.1	84.9	173.9	103.9	53.7	91.2	98.1	56.7	50.6	115.3	71.0	100.5	97.0	74.5	45.0	Rosen 1967
Kempff 1969	80.1	95.2	92.8	56.5	66.0	117.7	58.6	55.2	91.6	71.3	85.9	138.1	50.5	54.7	86.8	29.5	32.0	65.3	83.9	99.0	159.1	80.9	41.9	98.7	86.1	61.1	62.3	82.5	76.5	80.2	82.0	67.4	81.1	Kempff 1969
Richter 1970	48.4	105.8	92.9	58.7	57.6	137.9	46.9	53.4	95.7	74.7	79.6	104.3	83.1	42.8	84.8	25.4	32.1	71.5	100.7	76.3	101.3	110.1	30.1	75.9	78.7	86.6	30.2	88.7	64.6	68.3	72.4	65.4	52.3	Richter 1970
Newman 1971	55.5	84.9	75.5	56.3	56.4	106.9	48.2	64.3	85.6	68.7	85.3	120.3	71.3	63.1	87.2	30.2	34.2	59.0	87.4	84.7	128.5	97.3	52.8	87.5	84.5	66.9	57.5	78.2	70.7	78.3	87.7	81.1	57.6	Newman 1971
Hayden 1976	54.9	134.6	102.9	70.2	77.2	169.5	51.0	82.6	121.3	69.6	102.5	141.4	93.6	51.1	97.5	31.6	40.4	79.7	118.0	117.5	156.2	114.9	47.3	106.1	93.4	91.3	62.6	96.1	91.8	90.5	105.6	95.2	57.0	Hayden 1976
Takahashi 1976	45.2	80.1	61.5	58.9	59.0	127.7	33.0	69.1	94.4	51.0	78.2	141.0	85.6	26.3	106.3	22.0	37.0	62.1	98.5	95.1	91.0	100.5	34.6	112.1	89.0	67.3	36.7	99.8	63.9	79.2	103.9	84.3	37.7	Takahashi 1976
Gibbons 1979	60.9	120.1	73.3	68.0	60.6	120.8	43.1	37.3	118.9	87.7	87.4	155.8	73.1	39.4	100.2	29.6	41.0	64.9	92.9	87.7	208.0	121.5	47.3	106.5	108.4	101.4	64.1	100.1	69.0	85.7	94.7	81.7	62.3	Gibbons 1979
Nikolayeva 1979	56.5	101.3	89.5	59.4	60.6	123.8	44.7	82.6	99.2	69.7	82.8	119.8	75.0	38.6	83.9	32.7	41.1	69.7	96.2	96.8	166.6	88.3	39.8	100.8	86.9	86.2	50.2	86.0	71.5	70.7	87.1	74.3	54.8	Nikolayeva 1979
Pinnock 1980	41.2	93.7	83.4	72.4	60.9	119.2	43.8	81.6	108.9	46.5	82.7	129.7	42.8	43.3	100.3	27.8	40.0	66.0	108.6	89.6	140.9	106.2	29.7	91.1	91.8	66.3	44.8	88.6	75.7	90.8	84.9	58.7	39.9	Pinnock 1980
Weissenberg 1981	44.3	123.5	73.9	72.8	74.6	144.0	46.6	94.2	126.2	58.5	87.8	117.4	74.5	29.5	96.6	28.0	30.4	68.9	129.3	102.6	108.4	103.6	42.2	104.9	108.8	76.0	52.4	92.9	76.6	96.8	83.1	61.9	40.8	Weissenberg 1981
Gould 1981	33.5	82.1	79.3	62.9	57.6	164.8	75.0	55.8	111.0	97.3	94.2	146.3	92.0	41.8	94.4	21.4	28.6	68.7	108.6	94.7	90.0	118.5	46.3	93.4	104.0	90.7	34.8	112.1	73.1	89.9	93.1	73.2	27.6	Gould 1981
Schiff 1982	56.9	104.3	96.8	67.6	63.9	138.5	53.2	81.8	123.5	98.7	92.4	140.2	104.2	55.8	105.8	39.6	38.2	75.0	104.6	100.0	153.0	117.8	62.6	85.6	93.3	95.9	64.3	93.8	77.6	75.8	98.9	100.9	58.8	Schiff 1982
Sokolov 1982 	55.0	118.2	66.9	41.3	61.7	148.4	41.0	50.6	118.5	69.7	67.8	79.6	87.5	47.9	99.0	42.5	34.8	43.5	115.1	66.9	104.5	122.2	30.5	67.2	103.3	58.6	37.3	94.6	65.5	89.8	83.2	72.6	54.9	Sokolov 1982 
Chen 1985	64.3	117.2	72.6	73.6	43.5	129.1	41.5	83.1	110.2	62.8	76.8	106.4	99.8	43.3	92.9	27.8	31.6	77.1	91.7	80.1	172.7	104.9	50.7	93.3	84.6	73.4	46.1	96.6	69.7	76.7	79.8	60.6	57.5	Chen 1985
Gilbert 1986	48.3	88.7	76.7	63.5	62.3	111.3	38.4	72.5	102.9	61.6	83.1	109.5	54.8	30.5	88.5	33.6	39.2	64.5	94.2	94.5	140.3	89.1	49.6	90.7	84.0	70.4	52.3	83.5	62.4	78.2	79.6	73.9	45.8	Gilbert 1986
Tipo 1986 	54.1	102.7	71.8	64.3	54.9	145.6	57.0	54.2	111.4	57.0	86.3	109.0	100.1	34.8	99.3	31.2	30.5	76.7	126.4	76.0	122.9	117.7	54.4	81.0	103.4	65.1	44.4	99.0	74.8	79.4	69.0	65.8	50.3	Tipo 1986 
Koopman 1987	40.5	103.2	87.6	63.2	57.8	112.8	46.1	78.8	84.5	69.4	72.3	121.1	59.8	42.8	89.7	32.3	33.2	68.6	81.9	95.3	135.1	83.4	50.4	88.6	78.4	75.4	53.9	76.4	64.1	72.8	81.4	68.2	39.1	Koopman 1987
Jarrett 1989	39.5	79.8	59.6	49.9	52.4	95.7	39.6	59.2	86.0	57.8	64.4	102.7	58.5	36.1	77.3	31.7	37.1	52.8	84.4	78.4	130.7	86.4	45.5	83.1	86.4	61.2	54.3	78.6	50.6	76.0	79.7	65.8	41.7	Jarrett 1989
Asperen 1991	39.1	94.9	71.9	63.9	55.7	112.6	33.4	75.4	97.2	43.6	79.1	120.7	40.4	47.8	79.5	24.7	36.4	68.6	90.1	74.0	170.8	79.1	37.0	78.7	61.9	51.9	50.8	74.1	50.5	64.4	89.3	61.8	36.5	Asperen 1991
Feltsman 1991	40.1	109.5	98.5	66.4	64.4	146.8	51.8	67.6	108.8	79.0	80.5	163.2	97.3	40.4	105.3	25.5	29.5	71.5	83.5	90.6	196.2	96.2	37.8	85.3	97.3	86.7	42.5	93.6	76.9	94.1	88.0	71.6	39.2	Feltsman 1991
Barenboim 1992	47.6	100.1	65.8	48.7	56.4	137.7	45.7	73.7	89.6	74.7	62.5	123.4	91.7	55.8	72.4	27.4	28.0	68.0	108.0	99.0	118.8	93.2	49.9	95.0	79.6	103.0	43.3	107.1	84.5	87.4	81.1	77.3	42.8	Barenboim 1992
Nikolayeva 1992	53.7	103.7	90.8	59.5	54.8	129.2	46.8	54.2	92.0	72.9	72.6	97.2	79.9	41.2	78.3	24.5	29.4	70.6	98.9	72.1	103.6	102.5	31.4	72.8	75.8	87.9	25.5	79.7	59.4	64.1	64.7	58.0	49.5	Nikolayeva 1992
Verlet 1992	73.9	88.3	71.0	47.5	50.0	105.7	32.1	63.2	91.4	63.8	78.7	129.6	69.8	46.3	95.9	34.3	36.5	61.8	93.1	73.1	139.6	84.9	47.5	70.9	79.7	61.8	72.2	82.5	57.9	79.8	73.0	63.8	65.0	Verlet 1992
Gavrilov 1993	41.4	115.1	80.4	74.4	62.3	168.6	79.5	77.5	122.4	77.5	88.7	177.3	93.5	75.2	109.8	23.0	34.4	69.6	116.6	103.6	216.2	135.2	36.4	99.1	103.3	99.1	34.6	113.9	83.1	121.3	124.9	80.9	41.4	Gavrilov 1993
Peter Serkin 1994	49.7	107.5	87.8	37.7	64.1	121.1	41.7	76.7	102.3	64.1	84.4	135.2	69.8	33.6	100.7	27.9	37.4	71.1	109.0	77.9	164.6	111.5	32.8	102.6	101.9	65.3	37.0	108.8	69.5	85.3	93.8	109.1	45.2	Peter Serkin 1994
Li 1996	37.7	102.7	87.2	65.8	61.6	134.4	72.1	58.8	115.4	81.3	86.6	140.7	99.9	40.6	107.1	22.5	29.8	66.9	106.2	81.7	83.3	148.9	45.7	77.5	100.1	80.4	38.1	100.0	69.4	83.5	84.1	76.2	38.8	Li 1996
Vladar 1996	47.5	109.1	89.9	67.4	64.1	144.9	49.0	82.6	120.0	75.7	97.2	133.4	85.7	40.0	95.7	30.6	36.5	76.7	99.6	107.1	143.7	114.5	58.6	90.3	97.1	76.8	54.6	94.7	75.7	84.1	87.3	90.1	40.0	Vladar 1996
Schultz 1998	43.2	104.3	80.8	65.9	62.8	139.3	34.6	67.0	102.0	43.3	79.7	127.4	45.2	36.0	74.6	30.1	29.0	65.6	87.1	58.1	114.2	92.1	28.5	91.7	74.8	53.1	47.8	87.7	69.5	66.3	82.8	62.3	43.4	Schultz 1998
Tureck 1998	46.2	71.5	59.2	50.0	42.9	91.1	31.6	61.8	76.8	54.5	57.4	91.8	48.7	55.9	77.1	27.2	32.3	49.7	66.6	71.0	124.7	84.3	44.2	57.0	72.3	55.0	53.4	78.0	47.9	67.8	89.2	66.0	38.8	Tureck 1998
Belder 1999	37.4	94.3	83.5	65.7	53.6	115.1	32.6	70.5	93.8	50.7	83.0	126.5	51.4	48.8	83.7	26.3	31.5	68.6	96.3	78.8	153.6	92.7	41.1	91.4	84.1	55.4	54.1	80.5	62.4	71.1	85.2	59.3	40.4	Belder 1999
Hewitt 1999	49.8	113.4	78.6	57.4	61.7	129.7	37.4	65.5	103.7	71.8	85.7	122.5	76.1	45.0	93.5	31.2	29.7	70.4	89.6	94.1	121.2	110.1	49.7	92.6	94.3	66.7	45.2	97.6	68.3	87.0	73.2	69.8	47.0	Hewitt 1999
Koroliov 1999	43.8	105.1	81.4	64.8	63.6	161.9	41.4	70.9	107.6	67.0	86.3	146.2	90.4	37.7	95.3	24.7	33.7	69.2	110.0	65.4	86.1	116.2	42.7	66.1	96.8	78.0	35.3	75.7	74.4	93.6	80.3	86.1	40.5	Koroliov 1999
Schirmer 1999	38.2	89.2	76.2	54.3	55.2	144.2	41.0	54.3	100.6	64.8	82.1	120.4	85.6	35.9	89.5	26.8	29.5	58.9	81.0	69.7	93.2	98.0	43.5	72.9	86.9	70.2	40.0	98.5	69.1	81.0	89.4	72.5	33.9	Schirmer 1999
Perahia 2000	51.6	104.0	80.6	67.9	58.6	143.5	47.0	75.4	108.7	59.4	85.5	153.2	89.0	41.4	94.2	31.0	37.4	74.0	119.9	95.9	128.7	107.5	51.3	82.7	104.2	80.4	48.3	99.1	77.2	91.5	83.1	82.1	47.2	Perahia 2000
Schiff 2001	60.4	102.7	93.4	65.5	61.9	130.2	49.5	83.6	118.0	87.4	89.9	133.2	101.6	50.9	100.8	37.9	39.8	68.1	88.3	102.7	140.9	115.1	71.0	82.4	91.0	90.0	59.5	84.7	81.3	64.6	101.5	105.9	59.3	Schiff 2001
Haugsand 2001	47.5	86.0	89.6	69.6	67.0	108.8	45.7	71.7	84.6	60.7	87.4	98.6	57.8	42.0	87.9	28.4	37.8	69.2	105.6	101.5	152.1	89.5	46.3	91.4	89.5	61.0	53.6	93.7	65.6	74.0	84.0	73.1	44.3	Haugsand 2001
Pescia 2004	46.2	109.6	76.1	69.2	65.1	157.0	43.2	74.6	120.2	65.2	93.7	145.8	99.1	40.7	100.4	25.5	36.8	73.5	119.4	96.3	113.1	110.8	51.8	99.1	103.8	72.8	37.1	94.1	77.3	93.5	104.5	95.2	41.7	Pescia 2004
Takahashi 2004	58.2	86.2	77.3	57.2	53.6	104.7	41.6	71.3	87.0	80.2	73.7	130.5	68.0	49.8	86.7	36.0	29.8	54.0	71.3	74.7	157.1	104.9	48.6	93.5	77.3	81.5	77.4	78.7	51.1	68.6	71.4	65.9	76.2	Takahashi 2004
Dinnerstein 2005	39.2	111.1	51.8	37.9	57.2	144.8	49.3	53.6	106.6	73.3	86.6	138.5	68.7	42.5	102.7	25.1	32.4	68.6	126.4	84.9	110.3	116.0	31.8	57.6	104.2	96.5	45.0	119.2	64.1	57.2	77.5	71.2	33.7	Dinnerstein 2005
Egarr 2005	50.3	76.1	68.4	47.7	53.3	81.7	32.6	70.5	76.8	50.7	70.4	104.8	73.9	36.3	78.9	33.6	39.3	55.9	79.1	76.7	132.5	70.5	48.2	75.2	73.9	61.6	49.8	73.3	61.6	63.7	73.0	76.6	50.2	Egarr 2005
Zhu 2007	45.2	109.6	78.7	76.3	58.5	158.9	43.4	63.6	115.0	71.5	83.2	146.7	99.1	41.3	105.2	28.2	30.8	76.0	117.1	79.0	122.1	127.1	43.3	72.4	108.8	87.1	46.4	98.2	82.8	76.0	89.6	80.2	43.3	Zhu 2007
Staier 2009	48.0	101.8	77.1	52.0	68.6	133.6	62.0	74.8	87.8	52.4	85.7	122.2	82.4	47.1	82.1	29.7	37.8	74.2	119.0	90.3	165.5	80.0	46.4	87.1	90.6	81.1	50.9	98.6	79.1	89.1	81.4	64.4	42.3	Staier 2009
Marsoner 2009	46.1	124.1	109.0	73.2	70.2	156.2	44.4	73.3	123.6	66.7	93.8	141.1	102.2	42.0	100.7	28.9	37.3	84.2	110.7	102.1	190.8	109.8	44.9	95.6	106.5	71.8	52.8	99.3	80.6	81.2	98.7	84.5	46.2	Marsoner 2009
Ishizaka 2012	41.2	103.6	63.1	68.8	57.5	130.6	40.5	61.3	105.4	63.6	77.1	123.6	91.3	49.2	89.6	29.2	32.9	59.3	121.6	74.4	139.8	96.4	34.3	88.4	89.1	74.8	41.6	99.9	69.4	80.3	87.1	68.0	37.5	Ishizaka 2012
Denk 2013	53.6	109.9	95.6	59.7	56.3	153.7	54.4	77.5	121.5	71.6	90.7	148.4	84.6	39.2	109.3	33.2	34.6	74.2	107.9	93.2	216.6	96.0	45.6	78.2	92.8	91.6	57.9	110.3	70.4	89.6	104.5	78.8	53.2	Denk 2013
Hill 2014	50.2	92.1	89.6	67.5	57.2	112.1	43.9	69.0	88.7	77.3	84.0	106.6	57.6	40.6	91.4	29.6	34.2	70.9	96.9	78.8	158.8	89.0	41.5	102.5	85.8	65.9	53.2	93.8	73.1	81.2	87.2	67.0	47.9	Hill 2014
Hewitt 2015	46.3	117.9	77.1	55.6	56.3	132.8	34.4	67.6	106.7	66.1	86.0	124.3	77.3	40.6	95.0	29.0	34.8	69.3	87.6	90.4	116.6	106.7	43.4	86.8	93.1	61.5	45.0	99.6	70.6	87.7	69.6	71.9	41.1	Hewitt 2015
Levit 2015	48.7	104.4	71.9	68.3	60.9	149.4	48.6	70.7	106.6	59.5	84.3	152.9	99.6	35.3	99.2	31.9	32.8	78.6	115.1	96.9	140.3	111.6	50.5	86.3	101.4	83.5	48.1	96.3	85.4	90.2	98.1	83.3	49.3	Levit 2015
Schiff 2015	55.0	100.0	87.6	61.6	59.5	133.6	47.3	83.5	113.4	83.7	87.0	128.9	96.0	46.9	99.8	34.6	39.3	63.0	89.9	93.3	137.5	114.1	64.9	74.4	89.2	85.0	57.3	82.5	75.3	61.4	97.1	99.8	55.1	Schiff 2015
Esfahani 2016	51.3	96.9	96.0	50.2	61.1	132.2	62.2	73.8	98.7	54.8	85.3	137.3	84.9	43.8	97.2	32.7	32.9	66.1	104.2	86.8	181.8	109.0	50.2	90.3	87.5	57.3	58.2	102.0	76.0	83.9	91.0	76.1	48.6	Esfahani 2016
Schornsheim 2016	50.9	102.6	71.0	54.5	64.5	122.0	53.7	71.4	85.6	62.7	75.6	132.2	69.0	49.1	85.8	30.1	36.4	68.8	89.2	80.3	193.1	83.7	48.7	102.4	75.3	71.4	54.7	90.4	72.5	72.0	66.8	75.0	49.6	Schornsheim 2016
Kim 2018	39.7	107.9	84.7	66.5	65.1	166.4	35.5	60.3	122.0	72.1	84.4	147.7	96.4	35.1	103.0	25.4	30.3	60.3	108.6	89.4	142.2	102.5	34.1	70.9	98.2	68.6	36.6	111.8	74.7	77.5	83.4	82.1	35.0	Kim 2018
Ernst 2020	37.4	122.7	81.2	65.1	65.9	170.4	40.0	80.0	119.8	40.3	105.7	142.7	88.6	32.0	109.2	24.8	36.2	83.2	100.7	103.0	145.1	109.4	39.8	111.2	102.4	56.4	45.4	113.8	67.6	97.4	105.1	73.1	27.0	Ernst 2020
Lang 2020a	45.6	102.3	85.7	45.7	71.2	148.7	62.5	65.1	102.5	60.6	84.7	118.3	97.7	32.7	88.8	19.9	34.8	76.6	100.8	73.0	158.4	103.6	28.1	90.9	100.1	63.6	38.9	119.2	77.6	96.3	91.2	59.3	34.0	Lang 2020a
Lang 2020b	39.4	96.6	83.4	44.4	66.0	151.0	56.2	61.1	98.6	60.3	84.3	105.6	98.4	31.9	88.6	21.3	36.5	80.0	102.3	81.8	159.4	94.8	30.1	93.2	93.5	73.1	40.1	116.9	86.0	94.1	87.2	59.8	33.6	Lang 2020b
M	49.0	101.0	78.6	58.9	60.1	134.4	46.7	67.8	104.3	66.2	82.9	132.0	77.6	42.9	93.1	29.1	33.8	68.5	103.5	87.9	141.5	103.5	44.6	88.5	93.1	73.3	48.8	94.8	71.4	81.9	88.6	75.6	47.0	M
Max.	80.1	136.7	110.9	76.3	91.0	178.4	80.0	94.2	141.7	103.0	111.1	201.9	112.3	75.2	126.8	42.5	44.9	92.1	137.3	117.5	216.6	148.9	71.0	136.1	128.2	107.2	77.4	119.2	92.0	121.3	124.9	109.1	81.1	Max.
Min.	33.5	53.8	48.2	35.2	40.6	81.7	30.8	37.3	73.6	40.3	57.4	79.6	40.4	26.3	72.4	19.9	27.1	43.5	66.6	58.1	83.3	70.5	27.1	57.0	61.9	50.6	25.5	70.6	47.9	57.2	64.7	58.0	27.0	Min.
SD [%] 	17.96	16.50	17.48	16.88	12.40	16.49	23.87	15.33	14.12	19.99	11.96	16.60	23.32	20.27	11.02	14.56	11.83	13.12	14.46	14.60	22.11	14.93	20.88	15.57	12.99	20.46	19.48	12.64	12.93	13.92	13.26	14.57	20.97	SD [%] 
Range (%)	139.19	154.17	130.38	116.97	124.16	118.35	160.01	152.34	92.44	155.72	93.42	153.70	177.92	186.22	75.05	113.31	65.56	111.76	106.35	102.19	160.07	111.19	161.51	138.83	106.96	111.90	203.27	68.97	92.19	112.08	92.98	88.18	200.79	Range (%)
SD [%] from Max.	63.67	35.33	41.15	29.66	51.54	32.75	71.45	39.06	35.78	55.54	34.09	52.90	44.76	75.21	36.18	46.01	32.65	34.55	32.66	33.58	53.09	43.90	59.24	53.83	37.64	46.32	58.75	25.79	28.89	48.19	40.94	44.35	72.45	SD [%] from Max.
SD [%] from Min.	-31.57	-46.76	-38.73	-40.24	-32.39	-39.20	-34.06	-44.89	-29.44	-39.18	-30.67	-39.73	-47.91	-38.78	-22.21	-31.55	-19.88	-36.46	-35.71	-33.93	-41.14	-31.86	-39.11	-35.59	-33.49	-30.95	-47.65	-25.55	-32.94	-30.13	-26.97	-23.29	-42.67	SD [%] from Min.
	Aria 1	Variation 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16a	16b	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Aria 2	
